"genet","august_2019_area","july_2022_area","total_dead_overlap","treatment","plot","initial_live"
1,151.38,0,0.00643601000000027,"Removal","11",11720
2,171.7,0,0.00275468000000034,"Removal","11",11720
3,107.03,0,0,"Removal","11",11720
4,132.45,0,0.00235400500000033,"Removal","11",11720
5,99.19,0,0.0155181549999986,"Removal","11",11720
6,88.29,39.58,0.00460069999999985,"Removal","11",11720
8,17.18,0,0.00460069999999985,"Removal","11",11720
9,119.61,0,0.00205818000000002,"Removal","11",11720
10,427.51,264.22,0.00205818000000002,"Removal","11",11720
11,293.53,0,0,"Removal","11",11720
12,37.6,0,0,"Removal","11",11720
13,178.92,0,0,"Removal","11",11720
15,186.78,137.67,0,"Removal","11",11720
16,152.86,0,0,"Removal","11",11720
17,100.41,0,0,"Removal","11",11720
21,93.68,0,0.0157854549999983,"Removal","11",11720
22,412.75,191,0.0157854549999983,"Removal","11",11720
25,169.31,0,0,"Removal","11",11720
28,1202.92,1934.54,0,"Removal","11",11720
28,1202.92,1934.54,0.01146488,"Removal","11",11720
29,98.4,174.09,0.00380640500000001,"Removal","11",11720
30,54.56,0,0.00781531000000002,"Removal","11",11720
31,116.24,0,0.00205933000000005,"Removal","11",11720
33,179.36,0,0,"Removal","11",11720
34,464.42,1079.38,0.00965193000000001,"Removal","11",11720
36,261.01,39.07,0.000683104999999962,"Removal","11",11720
40,316.98,170.1,0.00488460500000004,"Removal","11",11720
41,75.12,0,0,"Removal","11",11720
42,63.48,0,0.00917052999999989,"Removal","11",11720
43,49.62,0,0.00917052999999989,"Removal","11",11720
44,96.64,0,0.00205722999999999,"Removal","11",11720
45,26.64,0,0.00204365500000001,"Removal","11",11720
46,179.55,0,0.0246268300000002,"Removal","11",11720
47,29.43,0,0.00298096000000009,"Removal","11",11720
48,184.33,0,0.0246268300000002,"Removal","11",11720
49,352.48,657.64,0.0224330550000003,"Removal","11",11720
50,159.47,0,0,"Removal","11",11720
51,104.31,0,0.0224330550000003,"Removal","11",11720
52,135.27,0,0.0254919100000003,"Removal","11",11720
55,354.06,296.37,0.0296730850000002,"Removal","11",11720
56,37.41,0,0,"Removal","11",11720
57,244.62,0,0.00965193000000001,"Removal","11",11720
59,284.2,0,0.00102623000000001,"Removal","11",11720
60,265.28,0,0.00717263000000018,"Removal","11",11720
62,48.76,0,0.00874193000000012,"Removal","11",11720
63,408.6,290.35,0.0225101349999998,"Removal","11",11720
64,159.11,172.98,0.0100140849999991,"Removal","11",11720
67,58.27,0,0.00884151000000044,"Removal","11",11720
68,130.59,3.13,0.00676248000000029,"Removal","11",11720
69,137.18,0,0.00178420499999987,"Removal","11",11720
70,806.37,0,0,"Removal","11",11720
71,44.16,0,0,"Removal","11",11720
72,108.53,0,0.00777645500000005,"Removal","11",11720
74,145.32,0,0.00587957999999966,"Removal","11",11720
75,59.56,0,0.00587957999999966,"Removal","11",11720
76,114.02,0,0.0261945349999999,"Removal","11",11720
107,15.36,0,0.00676248000000029,"Removal","11",11720
117,5.52,0,0.00717263000000018,"Removal","11",11720
0,434.47,181.31,0.0339587550000006,"Retention","12",11351
1,65.24,0,0.0609253850000009,"Retention","12",11351
2,144.4,0,0.13905571,"Retention","12",11351
3,222.06,0,0.0269666300000003,"Retention","12",11351
4,175.47,133.89,0.0269666300000003,"Retention","12",11351
5,57.35,0,0.0269666300000003,"Retention","12",11351
7,45.41,0,0.136920055,"Retention","12",11351
8,344.6,0,0.18313576,"Retention","12",11351
9,53.55,0,0.09750181,"Retention","12",11351
10,78.69,0,0.0420698300000005,"Retention","12",11351
11,838.45,375.5,0.0876583850000003,"Retention","12",11351
12,217.26,0,0,"Retention","12",11351
13,57.72,0,0,"Retention","12",11351
14,165.39,0,0,"Retention","12",11351
17,27.62,0,0,"Retention","12",11351
18,157.72,100.43,0,"Retention","12",11351
19,315.65,0,0.00106840500000016,"Retention","12",11351
21,381.57,419.04,0,"Retention","12",11351
23,132.93,0,0.0498892099999981,"Retention","12",11351
24,170.38,0,0.0134988549999983,"Retention","12",11351
25,208.74,0,0.0799081550000002,"Retention","12",11351
26,55.09,0,0.0363903549999998,"Retention","12",11351
27,3.15,0,0.0363903549999998,"Retention","12",11351
28,201.72,0,0.0363903549999998,"Retention","12",11351
29,119.62,0,0,"Retention","12",11351
30,87.1,0,0,"Retention","12",11351
31,249.09,0,0,"Retention","12",11351
32,87.38,0,0.084452155,"Retention","12",11351
34,177.67,0,0.11725491,"Retention","12",11351
35,246.84,0,0,"Retention","12",11351
36,207.47,133.45,0,"Retention","12",11351
38,163.25,216.76,0.136920055,"Retention","12",11351
39,212.92,0,0.136920055,"Retention","12",11351
40,199.18,0,0.15695276,"Retention","12",11351
42,147.66,0,0.157763780000001,"Retention","12",11351
43,107.93,0,0.102531960000001,"Retention","12",11351
44,24.48,0,0.0208437250000002,"Retention","12",11351
45,11.44,0,0.0208437250000002,"Retention","12",11351
46,29.91,0,0.136920055,"Retention","12",11351
47,122.87,109.74,0.136920055,"Retention","12",11351
48,8.1,0,0.136920055,"Retention","12",11351
53,211.55,23.21,0,"Retention","12",11351
55,133.57,0,0,"Retention","12",11351
56,107.54,0,0,"Retention","12",11351
57,387.57,84.67,0.035945835,"Retention","12",11351
59,38.73,0,0.032802755,"Retention","12",11351
60,416.27,62.07,0,"Retention","12",11351
61,553.16,0,0.0969748549999999,"Retention","12",11351
62,116.81,162.53,0,"Retention","12",11351
63,237.99,0,0,"Retention","12",11351
68,85.61,0,0,"Retention","12",11351
69,508.86,186.24,0.0126676050000001,"Retention","12",11351
73,121.69,144.91,0,"Retention","12",11351
74,265.7,0,0.0969748549999999,"Retention","12",11351
75,21.61,0,0.0741954849999994,"Retention","12",11351
76,11.66,0,0.0969748549999999,"Retention","12",11351
77,244.81,0,0.0712248549999996,"Retention","12",11351
78,52.37,0,0.0712248549999996,"Retention","12",11351
79,82.06,0,0.0741954849999994,"Retention","12",11351
80,69.56,0,0.0102527050000001,"Retention","12",11351
81,150.51,14.64,0.0102527050000001,"Retention","12",11351
82,393,110.13,0,"Retention","12",11351
83,79.04,0,0,"Retention","12",11351
84,251.97,300.71,0,"Retention","12",11351
90,51.85,0,0.12305766,"Retention","12",11351
